Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10CA0000739,429279,430095,2,2,27-Jan-10,2100,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,9
10MU0000616,432356,426127,1,1,27-Jan-10,0608,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,9
10BA0000619,430850,435443,3,1,28-Jan-10,0853,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,9
10BA0000676,432788,434405,2,2,28-Jan-10,1115,4,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,9
10BA0000676,432788,434405,2,2,28-Jan-10,1115,4,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,9
10BA0000708,432951,435584,2,5,28-Jan-10,2110,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,26,9
10BA0000708,432951,435584,2,5,28-Jan-10,2110,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,9
10BA0000708,432951,435584,2,5,28-Jan-10,2110,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,9
10BA0000708,432951,435584,2,5,28-Jan-10,2110,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,9
10BA0000708,432951,435584,2,5,28-Jan-10,2110,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,28,9
10BA0000710,433044,435014,2,1,28-Jan-10,1635,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,9
10AA0000631,420187,445471,1,2,29-Jan-10,1055,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,72,9
10AA0000631,420187,445471,1,2,29-Jan-10,1055,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,77,9
10AA0000644,424923,434470,2,1,29-Jan-10,1530,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,39,9
